Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:09:38 UTC,Aeroplane,Ready To Eat Orange Jelly,"Dairy, Eggs & Meals",120g,120g,1,1389342P,340kJ,<0.1g,0.0g,0.0g,19.8g,19.5g,48mg,1.4,TRUE,1,FALSE,,
2018-08-15 06:09:38 UTC,Aeroplane,Ready To Eat Blackcurrant Jelly,"Dairy, Eggs & Meals",120g,120g,1,1389375P,,,0.0g,0.0g,,,,1.4,TRUE,1,FALSE,,
2018-08-15 06:09:39 UTC,Aeroplane,Ready To Eat Raspberry Jelly,"Dairy, Eggs & Meals",120g,,,1389364P,,,,,,,,1.4,TRUE,1,FALSE,,
2018-08-15 06:09:42 UTC,Aeroplane,Ready To Eat Strawberry Jelly,"Dairy, Eggs & Meals",120g,,,1389353P,,,,,,,,1.4,TRUE,1,FALSE,,
2018-08-15 06:09:53 UTC,Aeroplane,Strawberry Jelly Crystals,Pantry,85g,,,5340119P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:55 UTC,Aeroplane,Glitter Jelly Berry Blue Flavour,Pantry,85g,,,2876779P,,,,,,,,1.9,TRUE,1,FALSE,,
2018-08-15 06:09:55 UTC,Aeroplane,Blackcurrant Jelly Crystals 30% Reduced Sugar,Pantry,85g,,,1389171P,,,,,,,,1.25,TRUE,1,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Lemon Delicious Jelly Crystals,Pantry,85g,,,5340152P,,,,,,,,1.15,FALSE,1.15,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Glitter Jelly Lime Flavour,Pantry,85g,,,2876768P,,,,,,,,1.9,TRUE,1,FALSE,,
2018-08-15 06:09:56 UTC,Aeroplane,Glitter Jelly Strawberry Flavour,Pantry,85g,,,2876757P,,,,,,,,1.9,TRUE,1,FALSE,,
